Código;Ação;Tipo;Qtde. Teórica;Part. (%)
SLCE3;SLC AGRICOLA;ON      NM;194.261.422;0,179;
SUZB3;SUZANO S.A.;ON      NM;630.821.784;1,697;
TAEE11;TAESA;UNT     N2;218.568.234;0,363;
VIVT3;TELEF BRASIL;ON;382.442.128;0,942;
TIMS3;TIM;ON      NM;807.495.418;0,678;
TOTS3;TOTVS;ON      NM;540.206.440;0,889;
UGPA3;ULTRAPAR;ON  ED  NM;1.090.134.379;0,874;
USIM5;USIMINAS;PNA     N1;515.193.199;0,144;
VALE3;VALE;ON  ED  NM;4.270.903.023;11,532;
VAMO3;VAMOS;ON      NM;485.166.826;0,086;
VBBR3;VIBRA;ON      NM;1.023.538.460;0,855;
VIVA3;VIVARA S.A.;ON      NM;125.446.075;0,111;
WEGE3;WEG;ON  ED  NM;1.243.177.587;2,879;
YDUQ3;YDUQS PART;ON  ATZ NM;277.677.050;0,148;
Quantidade Teórica Total;;;98.454.079.581;100,000
Redutor;;;16.065.734,56815884
