Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ALOS3;ALLOS;ON      NM;476.976.044;0,441;
ABEV3;AMBEV S/A;ON  ED;4.394.835.131;2,838;
ASAI3;ASSAI;ON      NM;1.345.832.968;0,495;
AURE3;AUREN;ON      NM;323.738.747;0,120;
AMOB3;AUTOMOB;ON      NM;533.959.816;0,008;
AZUL4;AZUL;PN      N2;326.872.005;0,059;
AZZA3;AZZAS 2154;ON      NM;136.643.320;0,141;
B3SA3;B3;ON      NM;5.392.540.963;3,187;
BBSE3;BBSEGURIDADE;ON      NM;637.332.335;1,213;
BBDC3;BRADESCO;ON      N1;1.484.426.957;0,797;
BBDC4;BRADESCO;PN      N1;5.129.958.973;3,005;
BRAP4;BRADESPAR;PN      N1;250.969.312;0,212;
BBAS3;BRASIL;ON  EX  NM;2.842.613.858;3,850;
BRKM5;BRASKEM;PNA     N1;265.388.400;0,144;
BRAV3;BRAVA;ON      NM;460.791.208;0,399;
BRFS3;BRF SA;ON      NM;814.523.002;0,710;
BPAC11;BTGP BANCO;UNT     N2;1.287.247.964;2,138;
CXSE3;CAIXA SEGURI;ON      NM;517.500.000;0,395;
CRFB3;CARREFOUR BR;ON      NM;532.664.283;0,188;
CCRO3;CCR SA;ON      NM;991.920.937;0,571;
CMIG4;CEMIG;PN      N1;1.858.636.840;0,990;
COGN3;COGNA ON;ON      NM;1.872.454.628;0,157;
CPLE6;COPEL;PNB     N2;1.679.233.590;0,830;
CSAN3;COSAN;ON      NM;1.150.987.430;0,427;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,335;
CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,493;
CVCB3;CVC BRASIL;ON      NM;525.591.097;0,051;
CYRE3;CYRELA REALT;ON      NM;273.755.006;0,304;
ELET3;ELETROBRAS;ON      N1;1.977.170.723;3,804;
ELET6;ELETROBRAS;PNB     N1;268.875.696;0,565;
EMBR3;EMBRAER;ON      NM;734.631.801;2,706;
ENGI11;ENERGISA;UNT     N2;326.175.300;0,645;
ENEV3;ENEVA;ON      NM;1.929.556.616;1,154;
EGIE3;ENGIE BRASIL;ON      NM;255.236.938;0,468;
EQTL3;EQUATORIAL;ON      NM;1.253.541.010;1,955;
FLRY3;FLEURY;ON  ED  NM;455.988.366;0,254;
GGBR4;GERDAU;PN      N1;1.242.683.687;1,017;
GOAU4;GERDAU MET;PN      N1;649.238.303;0,292;
NTCO3;GRUPO NATURA;ON      NM;850.935.197;0,372;
HAPV3;HAPVIDA;ON      NM;4.779.395.040;0,521;
HYPE3;HYPERA;ON      NM;370.735.677;0,362;
