Código;Ação;Tipo;Qtde. Teórica;Part. (%)
IGTI11;IGUATEMI S.A;UNT     N1;211.783.588;0,192;
IRBR3;IRBBRASIL RE;ON      NM;81.838.243;0,190;
ISAE4;ISA ENERGIA;PN  EJ  N1;395.801.044;0,435;
ITSA4;ITAUSA;PN      N1;5.857.796.242;2,651;
ITUB4;ITAUUNIBANCO;PN  EB  N1;5.272.192.664;8,060;
JBSS3;JBS;ON      NM;1.145.962.972;1,786;
KLBN11;KLABIN S/A;UNT     N2;765.785.673;0,723;
RENT3;LOCALIZA;ON      NM;965.986.531;1,534;
LREN3;LOJAS RENNER;ON      NM;1.051.120.777;0,625;
LWSA3;LWSA;ON      NM;389.635.155;0,049;
MGLU3;MAGAZ LUIZA;ON      NM;353.448.195;0,171;
POMO4;MARCOPOLO;PN      N2;666.378.439;0,219;
MRFG3;MARFRIG;ON      NM;302.019.876;0,213;
BEEF3;MINERVA;ON      NM;261.359.935;0,067;
MRVE3;MRV;ON      NM;377.241.484;0,091;
MULT3;MULTIPLAN;ON      N2;314.150.156;0,350;
PCAR3;P.ACUCAR-CBD;ON      NM;462.534.972;0,053;
PETR3;PETROBRAS;ON      N2;2.255.782.178;4,219;
PETR4;PETROBRAS;PN  ATZ N2;4.431.132.660;7,625;
RECV3;PETRORECSA;ON      NM;275.170.410;0,215;
PRIO3;PETRORIO;ON      NM;779.999.989;1,474;
PETZ3;PETZ;ON      NM;293.689.428;0,065;
PSSA3;PORTO SEGURO;ON      NM;182.560.698;0,347;
RADL3;RAIADROGASIL;ON      NM;1.286.616.979;1,223;
RAIZ4;RAIZEN;PN      N2;1.198.936.529;0,104;
RDOR3;REDE D OR;ON      NM;1.145.289.019;1,577;
RAIL3;RUMO S.A.;ON      NM;1.216.914.397;1,052;
SBSP3;SABESP;ON      NM;683.508.568;3,272;
SANB11;SANTANDER BR;UNT;356.586.730;0,455;
STBP3;SANTOS BRP;ON  ED  NM;855.712.622;0,545;
SMTO3;SAO MARTINHO;ON      NM;128.130.966;0,135;
CSNA3;SID NACIONAL;ON;727.459.637;0,349;
SLCE3;SLC AGRICOLA;ON      NM;194.261.422;0,165;
SUZB3;SUZANO S.A.;ON      NM;630.821.784;1,639;
TAEE11;TAESA;UNT     N2;218.568.234;0,358;
VIVT3;TELEF BRASIL;ON;382.442.128;0,938;
TIMS3;TIM;ON      NM;807.495.418;0,666;
TOTS3;TOTVS;ON      NM;540.206.440;0,866;
UGPA3;ULTRAPAR;ON  ED  NM;1.090.134.379;0,905;
USIM5;USIMINAS;PNA     N1;515.193.199;0,144;
VALE3;VALE;ON  ED  NM;4.270.903.023;11,606;
VAMO3;VAMOS;ON      NM;485.166.826;0,097;
VBBR3;VIBRA;ON      NM;1.023.538.460;0,863;
VIVA3;VIVARA S.A.;ON      NM;125.446.075;0,104;
WEGE3;WEG;ON      NM;1.243.177.587;2,819;
YDUQ3;YDUQS PART;ON  ATZ NM;277.677.050;0,151;
Quantidade Teórica Total;;;98.933.369.823;100,000
Redutor;;;16.061.386,35303798
