Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ALOS3;ALLOS;ON      NM;476.976.044;0,449;
ABEV3;AMBEV S/A;ON;4.394.835.131;2,351;
ASAI3;ASSAI;ON      NM;1.345.832.968;0,469;
AURE3;AUREN;ON      NM;323.738.747;0,130;
AMOB3;AUTOMOB;ON      NM;533.959.816;0,007;
AZUL4;AZUL;PN  ES  N2;326.872.005;0,061;
AZZA3;AZZAS 2154;ON      NM;136.643.320;0,228;
B3SA3;B3;ON      NM;5.392.540.963;2,914;
BBSE3;BBSEGURIDADE;ON      NM;637.332.335;1,235;
BBDC3;BRADESCO;ON  EJ  N1;1.484.426.957;0,796;
BBDC4;BRADESCO;PN  EJ  N1;5.129.958.973;3,033;
BRAP4;BRADESPAR;PN      N1;250.969.312;0,207;
BBAS3;BRASIL;ON      NM;2.842.613.858;3,894;
BRKM5;BRASKEM;PNA     N1;265.388.400;0,172;
BRAV3;BRAVA;ON      NM;460.791.208;0,472;
BRFS3;BRF SA;ON      NM;814.523.002;0,829;
BPAC11;BTGP BANCO;UNT     N2;1.287.247.964;2,039;
CXSE3;CAIXA SEGURI;ON      NM;517.500.000;0,366;
CRFB3;CARREFOUR BR;ON      NM;532.664.283;0,163;
CCRO3;CCR SA;ON      NM;991.920.937;0,534;
CMIG4;CEMIG;PN      N1;1.858.636.840;1,005;
COGN3;COGNA ON;ON      NM;1.872.454.628;0,141;
CPLE6;COPEL;PNB     N2;1.679.233.590;0,806;
CSAN3;COSAN;ON      NM;1.150.987.430;0,407;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,315;
CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,434;
CVCB3;CVC BRASIL;ON      NM;525.591.097;0,047;
CYRE3;CYRELA REALT;ON      NM;273.755.006;0,276;
ELET3;ELETROBRAS;ON      N1;1.977.170.723;3,388;
ELET6;ELETROBRAS;PNB     N1;268.875.696;0,513;
EMBR3;EMBRAER;ON      NM;734.631.801;2,257;
ENGI11;ENERGISA;UNT     N2;326.175.300;0,651;
ENEV3;ENEVA;ON      NM;1.929.556.616;1,109;
EGIE3;ENGIE BRASIL;ON      NM;255.236.938;0,452;
EQTL3;EQUATORIAL;ON      NM;1.253.541.010;1,873;
FLRY3;FLEURY;ON      NM;455.988.366;0,263;
GGBR4;GERDAU;PN      N1;1.242.683.687;1,023;
GOAU4;GERDAU MET;PN      N1;649.238.303;0,299;
NTCO3;GRUPO NATURA;ON      NM;850.935.197;0,524;
HAPV3;HAPVIDA;ON      NM;4.779.395.040;0,549;
HYPE3;HYPERA;ON      NM;370.735.677;0,340;
IGTI11;IGUATEMI S.A;UNT     N1;211.783.588;0,198;
IRBR3;IRBBRASIL RE;ON      NM;81.838.243;0,210;
ISAE4;ISA ENERGIA;PN      N1;395.801.044;0,466;
ITSA4;ITAUSA;PN      N1;5.778.248.950;2,712;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.792.902.422;8,017;
JBSS3;JBS;ON      NM;1.145.962.972;1,953;
KLBN11;KLABIN S/A;UNT     N2;765.785.673;0,803;
RENT3;LOCALIZA;ON      NM;965.986.531;1,426;
LREN3;LOJAS RENNER;ON      NM;1.051.120.777;0,665;
LWSA3;LWSA;ON      NM;389.635.155;0,060;
MGLU3;MAGAZ LUIZA;ON  ATZ NM;353.448.195;0,123;
POMO4;MARCOPOLO;PN      N2;666.378.439;0,265;
MRFG3;MARFRIG;ON      NM;302.019.876;0,221;
BEEF3;MINERVA;ON      NM;261.359.935;0,057;
MRVE3;MRV;ON      NM;377.241.484;0,101;
MULT3;MULTIPLAN;ON      N2;314.150.156;0,342;
PCAR3;P.ACUCAR-CBD;ON      NM;462.534.972;0,061;
PETR3;PETROBRAS;ON      N2;2.255.782.178;4,416;
PETR4;PETROBRAS;PN      N2;4.431.132.660;7,992;
RECV3;PETRORECSA;ON      NM;275.170.410;0,209;
PRIO3;PETRORIO;ON      NM;779.999.989;1,524;
PETZ3;PETZ;ON      NM;293.689.428;0,065;
PSSA3;PORTO SEGURO;ON      NM;182.560.698;0,367;
RADL3;RAIADROGASIL;ON      NM;1.286.616.979;1,276;
RAIZ4;RAIZEN;PN      N2;1.198.936.529;0,104;
RDOR3;REDE D OR;ON      NM;1.145.289.019;1,590;
