Código;Ação;Tipo;Qtde. Teórica;Part. (%)
SMTO3;SAO MARTINHO;ON      NM;128.130.966;0,136;
CSNA3;SID NACIONAL;ON;727.459.637;0,303;
SLCE3;SLC AGRICOLA;ON      NM;194.261.422;0,173;
SUZB3;SUZANO S.A.;ON      NM;630.821.784;1,773;
TAEE11;TAESA;UNT     N2;218.568.234;0,353;
VIVT3;TELEF BRASIL;ON  EJ;382.442.128;0,995;
TIMS3;TIM;ON  EJ  NM;807.495.418;0,680;
TOTS3;TOTVS;ON      NM;540.206.440;0,914;
UGPA3;ULTRAPAR;ON      NM;1.090.134.379;0,875;
USIM5;USIMINAS;PNA     N1;515.193.199;0,148;
VALE3;VALE;ON      NM;4.270.903.023;12,131;
VAMO3;VAMOS;ON      NM;485.166.826;0,103;
VBBR3;VIBRA;ON      NM;1.023.538.460;0,869;
VIVA3;VIVARA S.A.;ON      NM;125.446.075;0,113;
WEGE3;WEG;ON      NM;1.243.177.587;3,159;
YDUQ3;YDUQS PART;ON      NM;277.677.050;0,155;
Quantidade Teórica Total;;;98.454.079.581;100,000
Redutor;;;16.179.408,66917486
