Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ALOS3;ALLOS;ON  ED  NM;476.976.044;0,434;
ABEV3;AMBEV S/A;ON;4.394.835.131;2,389;
ASAI3;ASSAI;ON      NM;1.345.832.968;0,451;
AURE3;AUREN;ON      NM;323.738.747;0,138;
AMOB3;AUTOMOB;ON      NM;533.959.816;0,007;
AZUL4;AZUL;PN      N2;326.872.005;0,061;
AZZA3;AZZAS 2154;ON      NM;136.643.320;0,193;
B3SA3;B3;ON      NM;5.392.540.963;2,881;
BBSE3;BBSEGURIDADE;ON  EDR NM;637.332.335;1,178;
BBDC3;BRADESCO;ON      N1;1.484.426.957;0,782;
BBDC4;BRADESCO;PN      N1;5.129.958.973;2,941;
BRAP4;BRADESPAR;PN      N1;250.969.312;0,214;
BBAS3;BRASIL;ON      NM;2.842.613.858;3,896;
BRKM5;BRASKEM;PNA     N1;265.388.400;0,166;
BRAV3;BRAVA;ON      NM;460.791.208;0,431;
BRFS3;BRF SA;ON      NM;814.523.002;0,751;
BPAC11;BTGP BANCO;UNT     N2;1.287.247.964;2,071;
CXSE3;CAIXA SEGURI;ON      NM;517.500.000;0,396;
CRFB3;CARREFOUR BR;ON      NM;532.664.283;0,191;
CCRO3;CCR SA;ON      NM;991.920.937;0,573;
CMIG4;CEMIG;PN      N1;1.858.636.840;1,025;
COGN3;COGNA ON;ON      NM;1.872.454.628;0,153;
CPLE6;COPEL;PNB     N2;1.679.233.590;0,836;
CSAN3;COSAN;ON      NM;1.150.987.430;0,395;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,325;
CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,428;
CVCB3;CVC BRASIL;ON      NM;525.591.097;0,046;
CYRE3;CYRELA REALT;ON      NM;273.755.006;0,292;
ELET3;ELETROBRAS;ON      N1;1.977.170.723;3,613;
ELET6;ELETROBRAS;PNB     N1;268.875.696;0,547;
EMBR3;EMBRAER;ON      NM;734.631.801;2,168;
ENGI11;ENERGISA;UNT     N2;326.175.300;0,651;
ENEV3;ENEVA;ON      NM;1.929.556.616;1,134;
EGIE3;ENGIE BRASIL;ON      NM;255.236.938;0,460;
EQTL3;EQUATORIAL;ON      NM;1.253.541.010;1,875;
FLRY3;FLEURY;ON      NM;455.988.366;0,263;
GGBR4;GERDAU;PN      N1;1.242.683.687;0,997;
GOAU4;GERDAU MET;PN      N1;649.238.303;0,286;
NTCO3;GRUPO NATURA;ON      NM;850.935.197;0,566;
HAPV3;HAPVIDA;ON  ATZ NM;4.779.395.040;0,525;
HYPE3;HYPERA;ON      NM;370.735.677;0,351;
IGTI11;IGUATEMI S.A;UNT ED  N1;211.783.588;0,191;
IRBR3;IRBBRASIL RE;ON      NM;81.838.243;0,218;
ISAE4;ISA ENERGIA;PN      N1;395.801.044;0,457;
ITSA4;ITAUSA;PN  EX  N1;5.857.796.242;2,593;
ITUB4;ITAUUNIBANCO;PN  EDJ N1;4.792.902.422;7,682;
JBSS3;JBS;ON      NM;1.145.962.972;1,727;
KLBN11;KLABIN S/A;UNT     N2;765.785.673;0,790;
RENT3;LOCALIZA;ON      NM;965.986.531;1,327;
LREN3;LOJAS RENNER;ON      NM;1.051.120.777;0,580;
LWSA3;LWSA;ON      NM;389.635.155;0,054;
MGLU3;MAGAZ LUIZA;ON      NM;353.448.195;0,120;
POMO4;MARCOPOLO;PN      N2;666.378.439;0,264;
MRFG3;MARFRIG;ON      NM;302.019.876;0,200;
BEEF3;MINERVA;ON      NM;261.359.935;0,056;
MRVE3;MRV;ON      NM;377.241.484;0,099;
MULT3;MULTIPLAN;ON      N2;314.150.156;0,337;
PCAR3;P.ACUCAR-CBD;ON      NM;462.534.972;0,061;
PETR3;PETROBRAS;ON      N2;2.255.782.178;4,667;
PETR4;PETROBRAS;PN      N2;4.431.132.660;8,325;
RECV3;PETRORECSA;ON      NM;275.170.410;0,214;
PRIO3;PETRORIO;ON  ATZ NM;779.999.989;1,412;
PETZ3;PETZ;ON      NM;293.689.428;0,060;
PSSA3;PORTO SEGURO;ON      NM;182.560.698;0,345;
RADL3;RAIADROGASIL;ON      NM;1.286.616.979;1,199;
RAIZ4;RAIZEN;PN      N2;1.198.936.529;0,100;
RDOR3;REDE D OR;ON      NM;1.145.289.019;1,596;
RAIL3;RUMO S.A.;ON      NM;1.216.914.397;1,080;
SBSP3;SABESP;ON      NM;683.508.568;3,269;
SANB11;SANTANDER BR;UNT;356.586.730;0,462;
STBP3;SANTOS BRP;ON      NM;855.712.622;0,555;
