Código;Ação;Tipo;Qtde. Teórica;Part. (%)
SUZB3;SUZANO S.A.;ON      NM;630.821.784;1,751;
TAEE11;TAESA;UNT     N2;218.568.234;0,366;
VIVT3;TELEF BRASIL;ON  ER;382.442.128;0,953;
TIMS3;TIM;ON      NM;807.495.418;0,685;
TOTS3;TOTVS;ON      NM;540.206.440;0,924;
UGPA3;ULTRAPAR;ON  ED  NM;1.090.134.379;0,860;
USIM5;USIMINAS;PNA     N1;515.193.199;0,153;
VALE3;VALE;ON  ED  NM;4.270.903.023;11,516;
VAMO3;VAMOS;ON      NM;485.166.826;0,091;
VBBR3;VIBRA;ON      NM;1.023.538.460;0,843;
VIVA3;VIVARA S.A.;ON      NM;125.446.075;0,111;
WEGE3;WEG;ON  ED  NM;1.243.177.587;2,960;
YDUQ3;YDUQS PART;ON      NM;277.677.050;0,150;
Quantidade Teórica Total;;;98.454.079.581;100,000
Redutor;;;16.080.772,82657232
