Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ALOS3;ALLOS;ON      NM;476.976.044;0,445;
ABEV3;AMBEV S/A;ON;4.394.835.131;2,323;
ASAI3;ASSAI;ON      NM;1.345.832.968;0,457;
AURE3;AUREN;ON      NM;323.738.747;0,131;
AMOB3;AUTOMOB;ON      NM;533.959.816;0,007;
AZUL4;AZUL;PN      N2;326.872.005;0,063;
AZZA3;AZZAS 2154;ON      NM;136.643.320;0,229;
B3SA3;B3;ON      NM;5.392.540.963;2,945;
BBSE3;BBSEGURIDADE;ON      NM;637.332.335;1,233;
BBDC3;BRADESCO;ON  EJ  N1;1.484.426.957;0,812;
BBDC4;BRADESCO;PN  EJ  N1;5.129.958.973;3,117;
BRAP4;BRADESPAR;PN      N1;250.969.312;0,206;
BBAS3;BRASIL;ON      NM;2.842.613.858;3,895;
BRKM5;BRASKEM;PNA     N1;265.388.400;0,172;
BRAV3;BRAVA;ON      NM;460.791.208;0,470;
BRFS3;BRF SA;ON      NM;814.523.002;0,840;
BPAC11;BTGP BANCO;UNT     N2;1.287.247.964;2,012;
CXSE3;CAIXA SEGURI;ON      NM;517.500.000;0,367;
CRFB3;CARREFOUR BR;ON      NM;532.664.283;0,162;
CCRO3;CCR SA;ON      NM;991.920.937;0,542;
CMIG4;CEMIG;PN      N1;1.858.636.840;0,992;
COGN3;COGNA ON;ON      NM;1.872.454.628;0,137;
CPLE6;COPEL;PNB     N2;1.679.233.590;0,806;
CSAN3;COSAN;ON      NM;1.150.987.430;0,428;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,312;
CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,438;
CVCB3;CVC BRASIL;ON      NM;525.591.097;0,048;
CYRE3;CYRELA REALT;ON      NM;273.755.006;0,280;
ELET3;ELETROBRAS;ON      N1;1.977.170.723;3,417;
ELET6;ELETROBRAS;PNB     N1;268.875.696;0,516;
EMBR3;EMBRAER;ON      NM;734.631.801;2,306;
ENGI11;ENERGISA;UNT     N2;326.175.300;0,649;
ENEV3;ENEVA;ON      NM;1.929.556.616;1,119;
EGIE3;ENGIE BRASIL;ON      NM;255.236.938;0,446;
EQTL3;EQUATORIAL;ON      NM;1.253.541.010;1,873;
FLRY3;FLEURY;ON      NM;455.988.366;0,255;
GGBR4;GERDAU;PN      N1;1.242.683.687;1,034;
GOAU4;GERDAU MET;PN      N1;649.238.303;0,302;
NTCO3;GRUPO NATURA;ON      NM;850.935.197;0,542;
HAPV3;HAPVIDA;ON      NM;4.779.395.040;0,528;
HYPE3;HYPERA;ON      NM;370.735.677;0,343;
IGTI11;IGUATEMI S.A;UNT     N1;211.783.588;0,194;
IRBR3;IRBBRASIL RE;ON      NM;81.838.243;0,211;
ISAE4;ISA ENERGIA;PN      N1;395.801.044;0,459;
ITSA4;ITAUSA;PN      N1;5.778.248.950;2,706;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.792.902.422;7,973;
JBSS3;JBS;ON      NM;1.145.962.972;1,992;
KLBN11;KLABIN S/A;UNT     N2;765.785.673;0,805;
RENT3;LOCALIZA;ON      NM;965.986.531;1,500;
LREN3;LOJAS RENNER;ON      NM;1.051.120.777;0,681;
LWSA3;LWSA;ON      NM;389.635.155;0,061;
MGLU3;MAGAZ LUIZA;ON  ATZ NM;353.448.195;0,127;
POMO4;MARCOPOLO;PN      N2;666.378.439;0,263;
MRFG3;MARFRIG;ON      NM;302.019.876;0,224;
BEEF3;MINERVA;ON      NM;261.359.935;0,059;
MRVE3;MRV;ON      NM;377.241.484;0,103;
MULT3;MULTIPLAN;ON      N2;314.150.156;0,340;
PCAR3;P.ACUCAR-CBD;ON      NM;462.534.972;0,060;
PETR3;PETROBRAS;ON      N2;2.255.782.178;4,390;
PETR4;PETROBRAS;PN      N2;4.431.132.660;7,936;
RECV3;PETRORECSA;ON      NM;275.170.410;0,211;
PRIO3;PETRORIO;ON      NM;779.999.989;1,541;
PETZ3;PETZ;ON      NM;293.689.428;0,065;
PSSA3;PORTO SEGURO;ON      NM;182.560.698;0,367;
RADL3;RAIADROGASIL;ON      NM;1.286.616.979;1,253;
RAIZ4;RAIZEN;PN      N2;1.198.936.529;0,107;
RDOR3;REDE D OR;ON      NM;1.145.289.019;1,579;
RAIL3;RUMO S.A.;ON      NM;1.216.914.397;1,117;
SBSP3;SABESP;ON      NM;683.508.568;3,253;
SANB11;SANTANDER BR;UNT;356.586.730;0,469;
STBP3;SANTOS BRP;ON      NM;855.712.622;0,548;
SMTO3;SAO MARTINHO;ON      NM;128.130.966;0,143;
CSNA3;SID NACIONAL;ON;727.459.637;0,321;
SLCE3;SLC AGRICOLA;ON      NM;194.261.422;0,170;
SUZB3;SUZANO S.A.;ON      NM;630.821.784;1,845;
TAEE11;TAESA;UNT     N2;218.568.234;0,353;
VIVT3;TELEF BRASIL;ON;382.442.128;0,950;
TIMS3;TIM;ON      NM;807.495.418;0,609;
TOTS3;TOTVS;ON      NM;540.206.440;0,859;
UGPA3;ULTRAPAR;ON      NM;1.090.134.379;0,870;
USIM5;USIMINAS;PNA     N1;515.193.199;0,141;
VALE3;VALE;ON      NM;4.270.903.023;11,462;
VAMO3;VAMOS;ON      NM;485.166.826;0,101;
VBBR3;VIBRA;ON      NM;1.023.538.460;0,816;
VIVA3;VIVARA S.A.;ON      NM;125.446.075;0,127;
WEGE3;WEG;ON      NM;1.243.177.587;3,300;
YDUQ3;YDUQS PART;ON      NM;277.677.050;0,140;
Quantidade Teórica Total;;;98.374.532.289;100,000
Redutor;;;16.273.763,11400699
