Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ALOS3;ALLOS;ON      NM;476.976.044;0,448;
ABEV3;AMBEV S/A;ON;4.394.835.131;2,342;
ASAI3;ASSAI;ON      NM;1.345.832.968;0,474;
AURE3;AUREN;ON      NM;323.738.747;0,136;
AMOB3;AUTOMOB;ON      NM;533.959.816;0,007;
AZUL4;AZUL;PN  ES  N2;326.872.005;0,062;
AZZA3;AZZAS 2154;ON      NM;136.643.320;0,215;
B3SA3;B3;ON      NM;5.392.540.963;2,985;
BBSE3;BBSEGURIDADE;ON      NM;637.332.335;1,216;
BBDC3;BRADESCO;ON      N1;1.484.426.957;0,792;
BBDC4;BRADESCO;PN      N1;5.129.958.973;3,007;
BRAP4;BRADESPAR;PN      N1;250.969.312;0,204;
BBAS3;BRASIL;ON      NM;2.842.613.858;4,023;
BRKM5;BRASKEM;PNA     N1;265.388.400;0,169;
BRAV3;BRAVA;ON      NM;460.791.208;0,448;
BRFS3;BRF SA;ON      NM;814.523.002;0,751;
BPAC11;BTGP BANCO;UNT     N2;1.287.247.964;2,073;
CXSE3;CAIXA SEGURI;ON      NM;517.500.000;0,376;
CRFB3;CARREFOUR BR;ON      NM;532.664.283;0,192;
CCRO3;CCR SA;ON      NM;991.920.937;0,570;
CMIG4;CEMIG;PN      N1;1.858.636.840;1,018;
COGN3;COGNA ON;ON      NM;1.872.454.628;0,157;
CPLE6;COPEL;PNB     N2;1.679.233.590;0,822;
CSAN3;COSAN;ON      NM;1.150.987.430;0,430;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,310;
CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,427;
CVCB3;CVC BRASIL;ON      NM;525.591.097;0,052;
CYRE3;CYRELA REALT;ON      NM;273.755.006;0,295;
ELET3;ELETROBRAS;ON      N1;1.977.170.723;3,630;
ELET6;ELETROBRAS;PNB     N1;268.875.696;0,545;
EMBR3;EMBRAER;ON      NM;734.631.801;2,135;
ENGI11;ENERGISA;UNT     N2;326.175.300;0,659;
ENEV3;ENEVA;ON      NM;1.929.556.616;1,117;
EGIE3;ENGIE BRASIL;ON      NM;255.236.938;0,448;
EQTL3;EQUATORIAL;ON      NM;1.253.541.010;1,886;
FLRY3;FLEURY;ON      NM;455.988.366;0,266;
GGBR4;GERDAU;PN      N1;1.242.683.687;1,041;
GOAU4;GERDAU MET;PN      N1;649.238.303;0,300;
NTCO3;GRUPO NATURA;ON      NM;850.935.197;0,558;
HAPV3;HAPVIDA;ON  ATZ NM;4.779.395.040;0,567;
HYPE3;HYPERA;ON      NM;370.735.677;0,366;
