Código;Ação;Tipo;Qtde. Teórica;Part. (%)
EQTL3;EQUATORIAL;ON      NM;1.253.541.010;1,901;
FLRY3;FLEURY;ON  ED  NM;455.988.366;0,255;
GGBR4;GERDAU;PN  ED  N1;1.242.683.687;1,049;
GOAU4;GERDAU MET;PN  ED  N1;649.238.303;0,299;
NTCO3;GRUPO NATURA;ON      NM;850.935.197;0,574;
HAPV3;HAPVIDA;ON      NM;4.779.395.040;0,499;
HYPE3;HYPERA;ON      NM;370.735.677;0,366;
IGTI11;IGUATEMI S.A;UNT ED  N1;211.783.588;0,187;
IRBR3;IRBBRASIL RE;ON      NM;81.838.243;0,192;
ISAE4;ISA ENERGIA;PN      N1;395.801.044;0,465;
ITSA4;ITAUSA;PN  EJ  N1;5.857.796.242;2,607;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.792.902.422;7,807;
JBSS3;JBS;ON      NM;1.145.962.972;1,767;
KLBN11;KLABIN S/A;UNT ED  N2;765.785.673;0,766;
RENT3;LOCALIZA;ON      NM;965.986.531;1,373;
LREN3;LOJAS RENNER;ON      NM;1.051.120.777;0,603;
LWSA3;LWSA;ON      NM;389.635.155;0,052;
MGLU3;MAGAZ LUIZA;ON      NM;353.448.195;0,126;
POMO4;MARCOPOLO;PN  ED  N2;666.378.439;0,227;
MRFG3;MARFRIG;ON      NM;302.019.876;0,215;
BEEF3;MINERVA;ON      NM;261.359.935;0,062;
MRVE3;MRV;ON      NM;377.241.484;0,086;
MULT3;MULTIPLAN;ON      N2;314.150.156;0,334;
PCAR3;P.ACUCAR-CBD;ON      NM;462.534.972;0,057;
PETR3;PETROBRAS;ON      N2;2.255.782.178;4,185;
PETR4;PETROBRAS;PN      N2;4.431.132.660;7,618;
RECV3;PETRORECSA;ON      NM;275.170.410;0,213;
PRIO3;PETRORIO;ON      NM;779.999.989;1,467;
PETZ3;PETZ;ON      NM;293.689.428;0,060;
PSSA3;PORTO SEGURO;ON      NM;182.560.698;0,344;
RADL3;RAIADROGASIL;ON      NM;1.286.616.979;1,150;
RAIZ4;RAIZEN;PN      N2;1.198.936.529;0,103;
RDOR3;REDE D OR;ON      NM;1.145.289.019;1,554;
RAIL3;RUMO S.A.;ON      NM;1.216.914.397;1,097;
SBSP3;SABESP;ON      NM;683.508.568;3,230;
SANB11;SANTANDER BR;UNT;356.586.730;0,453;
STBP3;SANTOS BRP;ON  ED  NM;855.712.622;0,562;
SMTO3;SAO MARTINHO;ON      NM;128.130.966;0,136;
CSNA3;SID NACIONAL;ON;727.459.637;0,317;
SLCE3;SLC AGRICOLA;ON      NM;194.261.422;0,182;
SUZB3;SUZANO S.A.;ON      NM;630.821.784;1,746;
TAEE11;TAESA;UNT     N2;218.568.234;0,362;
VIVT3;TELEF BRASIL;ON  ERJ;382.442.128;0,940;
TIMS3;TIM;ON      NM;807.495.418;0,665;
TOTS3;TOTVS;ON      NM;540.206.440;0,943;
UGPA3;ULTRAPAR;ON  ED  NM;1.090.134.379;0,851;
USIM5;USIMINAS;PNA     N1;515.193.199;0,153;
VALE3;VALE;ON      NM;4.270.903.023;12,045;
VAMO3;VAMOS;ON      NM;485.166.826;0,089;
VBBR3;VIBRA;ON      NM;1.023.538.460;0,838;
VIVA3;VIVARA S.A.;ON      NM;125.446.075;0,106;
WEGE3;WEG;ON  ED  NM;1.243.177.587;2,950;
YDUQ3;YDUQS PART;ON      NM;277.677.050;0,148;
Quantidade Teórica Total;;;98.454.079.581;100,000
Redutor;;;16.153.932,73803513
